Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength,Time Diff (sec),Time Range
9c83832c-fc75-43a6-8764-fa3ce40322cb-1,EDC_BS6_PERIODIC,2025-11-26 00:00:04,2025-11-26 00:00:19,18.5425568,73.9526976,61640.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,562.741,126.79,7.0,-55.0,15.0,0-5Mins
bb0ef075-5a08-4b99-a84c-8503f4641f20-3,EDC_BS6_PERIODIC,2025-11-26 00:00:10,2025-11-26 00:17:25,18.5425024,73.952672,61641.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,562.773,126.79,7.0,-55.0,1035.0,15-30Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-10,EDC_BS6_PERIODIC,2025-11-26 00:00:16,2025-11-26 00:01:20,18.5425024,73.952672,61642.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,562.783,126.79,8.0,-55.0,64.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-9,EDC_BS6_PERIODIC,2025-11-26 00:00:22,2025-11-26 00:01:20,18.5424128,73.9525696,61643.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.153,47.13,7.0,-55.0,58.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-8,EDC_BS6_PERIODIC,2025-11-26 00:00:28,2025-11-26 00:01:20,18.5424288,73.952512,61644.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.206,47.13,8.0,-55.0,52.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-7,EDC_BS6_PERIODIC,2025-11-26 00:00:34,2025-11-26 00:01:20,18.542424,73.9524992,61645.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.205,47.13,6.0,-55.0,46.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-6,EDC_BS6_PERIODIC,2025-11-26 00:00:40,2025-11-26 00:01:20,18.5424288,73.952448,61646.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.242,47.13,8.0,-55.0,40.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-5,EDC_BS6_PERIODIC,2025-11-26 00:00:46,2025-11-26 00:01:20,18.5424,73.952448,61647.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.3,47.13,6.0,-55.0,34.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-4,EDC_BS6_PERIODIC,2025-11-26 00:00:52,2025-11-26 00:01:20,18.542384,73.95248,61648.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.491,47.13,5.0,-55.0,28.0,0-5Mins
32b18bfd-6b29-4e1d-a1bc-419ad008ec9a-3,EDC_BS6_PERIODIC,2025-11-26 00:00:58,2025-11-26 00:01:20,18.542384,73.95248,61649.0,,FixOK,A,ObG5CU0302,G131b15423,"Unnamed Road, Maharashtra 411036, India",115003.25,0.0,IgnitionOn,1,563.491,47.13,5.0,-55.0,22.0,0-5Mins
