Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength
dc1835cb-cc1e-4257-8fa9-329b8276d95f-12,EEA_BS6_PERIODIC,2025-11-30 00:00:00,2025-11-30 00:00:12,16.4926304,81.880448,61381,18927,FixOK,A,OfV5AS1912,T217t6J557,"FVJG+7M Palagummi, Andhra Pradesh, India",178817.75,26.98,IgnitionOn,1,17.729,351.5,13,-51
dc1835cb-cc1e-4257-8fa9-329b8276d95f-13,BRAKE_PRESSED,2025-11-30 00:00:06,2025-11-30 00:00:12,16.4931696,81.8803712,32360,18927,FixOK,,OfV5AS1912,T217t6J557,"FVJG+7M Palagummi, Andhra Pradesh, India",148248,27.75,IgnitionOn,1,,,,
dc1835cb-cc1e-4257-8fa9-329b8276d95f-14,EEA_BS6_PERIODIC,2025-11-30 00:00:06,2025-11-30 00:00:12,16.4931696,81.8803712,61382,18927,FixOK,A,OfV5AS1912,T217t6J557,"FVJG+7M Palagummi, Andhra Pradesh, India",178817.875,30.89,IgnitionOn,1,14.369,352.6,11,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-1,EEA_BS6_PERIODIC,2025-11-30 00:00:12,2025-11-30 00:01:13,16.493568,81.8803072,61383,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178817.875,27.13,IgnitionOn,1,10.02,353.1,11,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-2,EEA_BS6_PERIODIC,2025-11-30 00:00:18,2025-11-30 00:01:13,16.4937632,81.8802816,61384,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178817.875,15.45,IgnitionOn,1,7.179,353.6,12,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-3,EEA_BS6_PERIODIC,2025-11-30 00:00:24,2025-11-30 00:01:13,16.4937936,81.8802688,61385,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818,2.21,IgnitionOn,1,5.139,353.6,12,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-4,EEA_BS6_PERIODIC,2025-11-30 00:00:30,2025-11-30 00:01:13,16.4939808,81.8802624,61386,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818,9.43,IgnitionOn,1,2.589,358.7,12,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-5,EEA_BS6_PERIODIC,2025-11-30 00:00:36,2025-11-30 00:01:13,16.494272,81.8802304,61387,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818,20.86,IgnitionOn,1,0.589,355.7,13,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-6,EEA_BS6_PERIODIC,2025-11-30 00:00:42,2025-11-30 00:01:13,16.4946736,81.8801856,61388,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818,23.38,IgnitionOn,1,0.425,353.89,13,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-7,EEA_BS6_PERIODIC,2025-11-30 00:00:48,2025-11-30 00:01:13,16.4950688,81.8801408,61389,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.125,28.07,IgnitionOn,1,0,352.29,12,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-8,EEA_BS6_PERIODIC,2025-11-30 00:00:54,2025-11-30 00:01:13,16.4953696,81.880096,61390,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.125,24.47,IgnitionOn,1,0,352.1,12,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-9,EEA_BS6_PERIODIC,2025-11-30 00:01:00,2025-11-30 00:01:13,16.4957088,81.8800384,61391,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.125,23.55,IgnitionOn,1,0,351.5,13,-51
c7f4e70d-a944-40a7-9e93-36cadd95ab65-10,EEA_BS6_PERIODIC,2025-11-30 00:01:06,2025-11-30 00:01:13,16.4959856,81.8799872,61392,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.25,22.66,IgnitionOn,1,0,348.1,14,-51
ad5d9da9-14eb-4bc3-b8c5-9832f2bdf5e5-1,BRAKE_PRESSED,2025-11-30 00:01:09,2025-11-30 00:02:14,16.4961472,81.8799488,32361,18927,FixOK,,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",148248,19.1,IgnitionOn,1,,,,
ad5d9da9-14eb-4bc3-b8c5-9832f2bdf5e5-2,EEA_BS6_PERIODIC,2025-11-30 00:01:12,2025-11-30 00:02:14,16.4963392,81.8799104,61393,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.25,21.07,IgnitionOn,1,0,352.2,14,-51
ad5d9da9-14eb-4bc3-b8c5-9832f2bdf5e5-3,EEA_BS6_PERIODIC,2025-11-30 00:01:18,2025-11-30 00:02:14,16.496504,81.879872,61394,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.25,12.57,IgnitionOn,1,0,357.1,13,-51
ad5d9da9-14eb-4bc3-b8c5-9832f2bdf5e5-4,EEA_BS6_PERIODIC,2025-11-30 00:01:24,2025-11-30 00:02:14,16.4968256,81.8798464,61395,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.25,23.76,IgnitionOn,1,0,357.5,13,-51
ad5d9da9-14eb-4bc3-b8c5-9832f2bdf5e5-5,EEA_BS6_PERIODIC,2025-11-30 00:01:30,2025-11-30 00:02:14,16.497336,81.8798144,61396,18927,FixOK,A,OfV5AS1912,T217t6J557,"Jaggannapeta - Mogalikuduru Rd, Mogalikuduru, Palagummi, Andhra Pradesh 533342, India",178818.375,29.52,IgnitionOn,1,0,353.89,13,-53
