Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-1-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-12 00:17:16,2025-12-12 05:39:56,16.3992832,81.7388096,,19043,3DFix,A,OfV5AS1912,T217t6J557,"Rameswaram Village Main Road, Rameswaram, Andhra Pradesh 533252, India",150130,,IgnitionOff,0,0,0,11,
9541043e-870d-432b-b4bb-d68de354dffb,HEARTBEAT_MESSAGE,2025-12-12 00:18:48,2025-12-12 00:18:48,0,0,,,,,OfV5AS1912,T217t6J557,,,,,0,,,,
6444b940-7e82-40c5-a576-8097963f6dbe-1-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-12 04:21:28,2025-12-12 04:23:02,16.3992752,81.7390464,,19043,3DFix,A,OfV5AS1912,T217t6J557,"Rameswaram Village Main Road, Rameswaram, Andhra Pradesh 533252, India",150130,,IgnitionOff,0,0,0,4,
6444b940-7e82-40c5-a576-8097963f6dbe-1,GPS_MESSAGE,2025-12-12 04:21:28,2025-12-12 04:23:02,16.3992752,81.7390464,,19043,3DFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,0,0,0,4,
cee58863-8997-4a15-8158-c9fe293eb027,HEARTBEAT_MESSAGE,2025-12-12 04:23:01,2025-12-12 04:23:01,0,0,,,,,OfV5AS1912,T217t6J557,,,,,0,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-8,ACU_SW_PART_NO,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44093,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,0,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-2,DM1_START,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44087,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,1,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-3,DM1_START,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44088,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,1,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-4,DM1_START,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44089,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,1,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-5,DM1_START,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44090,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,1,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-6,DM1_START,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44091,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,1,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-7,ECU_SW_PART_NO,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44092,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,0,,,,
a20e4f2b-0981-44dc-869e-d6aac40c7dd0-9,ENGINE_CRANKING,2025-12-12 05:38:15,2025-12-12 05:39:56,16.3992016,81.7387776,44094,19043,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOff,0,,,,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-5,EEA_BS6_PERIODIC,2025-12-12 05:38:16,2025-12-12 05:39:25,16.3992016,81.7387776,51847,19044,StoredFix,A,OfV5AS1912,T217t6J557,,0,0,IgnitionOn,1,0,289.39,13,-57
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-2,GPS_MESSAGE,2025-12-12 05:38:16,2025-12-12 05:39:25,16.3992016,81.7387776,,19044,NoFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOn,1,0,0,0,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-4,IGNITION_ON,2025-12-12 05:38:16,2025-12-12 05:39:25,16.3992016,81.7387776,44095,19044,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOn,1,,,,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-1,TRIP_START,2025-12-12 05:38:16,2025-12-12 05:39:25,16.3992016,81.7387776,,19044,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOn,1,,,,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-3,VERSION_UPDATE,2025-12-12 05:38:16,2025-12-12 05:39:25,16.3992016,81.7387776,,19044,StoredFix,,OfV5AS1912,T217t6J557,,15013,,IgnitionOn,1,,,,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-6,VIN_NO_CAN,2025-12-12 05:38:19,2025-12-12 05:39:25,16.3992016,81.7387776,44096,19044,StoredFix,,OfV5AS1912,T217t6J557,,150130,,IgnitionOn,1,,,,
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-7,EEA_BS6_PERIODIC,2025-12-12 05:38:22,2025-12-12 05:39:25,16.3992016,81.7387776,51848,19044,StoredFix,A,OfV5AS1912,T217t6J557,,181187.75,0,IgnitionOn,1,0,289.39,13,-57
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-8,EEA_BS6_PERIODIC,2025-12-12 05:38:28,2025-12-12 05:39:25,16.3992016,81.7387776,51849,19044,StoredFix,A,OfV5AS1912,T217t6J557,,181187.75,0,IgnitionOn,1,0,289.39,13,-57
bb2bcd4d-ce40-4516-9ccd-f255ea0ce8c1-9,EEA_BS6_PERIODIC,2025-12-12 05:38:34,2025-12-12 05:39:25,16.3992016,81.7387776,51850,19044,StoredFix,A,OfV5AS1912,T217t6J557,,181187.75,0,IgnitionOn,1,0,289.39,13,-59
cc48b0e8-a922-48a9-842a-75cf62fd88d5-1,EEA_BS6_PERIODIC,2025-12-12 05:38:40,2025-12-12 05:40:08,16.3992016,81.7387776,51851,19044,StoredFix,A,OfV5AS1912,T217t6J557,,181187.75,0,IgnitionOn,1,0,289.39,13,-59
cc48b0e8-a922-48a9-842a-75cf62fd88d5-2,EEA_BS6_PERIODIC,2025-12-12 05:38:46,2025-12-12 05:40:08,16.3992016,81.7387776,51852,19044,StoredFix,A,OfV5AS1912,T217t6J557,,181187.75,0,IgnitionOn,1,0,289.39,13,-55
