Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength
bc4b07a6-8985-4163-b09d-ad3e17c4bc04-1-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-10 00:53:03,2025-12-10 00:53:10,24.2270224,83.28,,10683,3DFix,A,OaJ5CU0303,G133E15423,"67GJ+Q3 Hirachak, Uttar Pradesh, India",0,,IgnitionOff,0,226,24,12,
bc4b07a6-8985-4163-b09d-ad3e17c4bc04-1,GPS_MESSAGE,2025-12-10 00:53:03,2025-12-10 00:53:10,24.2270224,83.28,,10683,3DFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOff,0,226,24,12,
7566fc21-88e7-4953-a49e-6f4196e41866,HEARTBEAT_MESSAGE,2025-12-10 00:53:09,2025-12-10 00:53:09,0,0,,,,,OaJ5CU0303,G133E15423,,,,,0,,,,
47a09c82-d31c-4253-894d-3144199ea968-17,TRIP_START,2025-12-10 04:44:36,2025-12-10 04:46:16,24.2271072,83.279968,,10684,StoredFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-16,GPS_MESSAGE,2025-12-10 04:44:47,2025-12-10 04:46:16,24.2271072,83.279968,,10684,NoFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,0,0,0,
47a09c82-d31c-4253-894d-3144199ea968-15,VERSION_UPDATE,2025-12-10 04:44:47,2025-12-10 04:46:16,24.2271072,83.279968,,10684,StoredFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-14,IGNITION_ON,2025-12-10 04:44:52,2025-12-10 04:46:16,24.2270464,83.2802432,21922,10684,StoredFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-11,ACU_SW_PART_NO,2025-12-10 04:44:53,2025-12-10 04:46:16,24.2270576,83.2802432,21924,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-12,ECU_SW_PART_NO,2025-12-10 04:44:53,2025-12-10 04:46:16,24.2270576,83.2802432,21923,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-13,GPS_MESSAGE,2025-12-10 04:44:53,2025-12-10 04:46:16,24.2270576,83.2802432,,10684,3DFix,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,254,0,10,
47a09c82-d31c-4253-894d-3144199ea968-10,EDC_BS6_PERIODIC,2025-12-10 04:44:54,2025-12-10 04:46:16,24.2270576,83.280224,20110,10684,FixOK,A,OaJ5CU0303,G133E15423,,62615.5,0,IgnitionOn,1,245.932,131.75,10,-113
47a09c82-d31c-4253-894d-3144199ea968-8,DM1_START,2025-12-10 04:44:55,2025-12-10 04:46:16,24.2270576,83.280224,21926,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-9,DM1_START,2025-12-10 04:44:55,2025-12-10 04:46:16,24.2270576,83.280224,21925,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-7,ENGINE_CRANKING,2025-12-10 04:44:56,2025-12-10 04:46:16,24.2270912,83.2802048,21927,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-6,BATTERY_VOLTAGE_DIP,2025-12-10 04:44:58,2025-12-10 04:46:16,24.227104,83.2802048,21928,10684,FixOK,,OaJ5CU0303,G133E15423,,0,0,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-5-1,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-10 04:44:58,2025-12-10 04:46:16,24.227104,83.2802048,1,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-5-2,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-10 04:44:58,2025-12-10 04:46:16,24.227104,83.2802048,2,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-5-3,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-10 04:44:58,2025-12-10 04:46:16,24.227104,83.2802048,3,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-4,EDC_BS6_PERIODIC,2025-12-10 04:45:00,2025-12-10 04:46:16,24.227112,83.2802048,20111,10684,FixOK,A,OaJ5CU0303,G133E15423,,62615.5,0,IgnitionOn,1,238.855,131.75,10,-113
47a09c82-d31c-4253-894d-3144199ea968-3,WEAK_BATTERY_START,2025-12-10 04:45:01,2025-12-10 04:46:16,24.2271168,83.2802048,21930,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
47a09c82-d31c-4253-894d-3144199ea968-2,EDC_BS6_PERIODIC,2025-12-10 04:45:06,2025-12-10 04:46:16,24.2271232,83.280192,20112,10684,FixOK,A,OaJ5CU0303,G133E15423,,62615.5,0,IgnitionOn,1,229.177,131.75,10,-113
47a09c82-d31c-4253-894d-3144199ea968-1,WEAK_BATTERY_END,2025-12-10 04:45:07,2025-12-10 04:46:16,24.2271232,83.280192,21931,10684,FixOK,,OaJ5CU0303,G133E15423,,0,,IgnitionOn,1,,,,
