Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength
fa860ee0-a998-4192-a15c-d7bd97febb9b-1-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-19 00:09:46,2025-12-19 00:09:56,23.4437744,86.1963392,,595,3DFix,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",0,,IgnitionOff,0,260,33,13,
fa860ee0-a998-4192-a15c-d7bd97febb9b-1,GPS_MESSAGE,2025-12-19 00:09:46,2025-12-19 00:09:56,23.4437744,86.1963392,,595,3DFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOff,0,260,33,13,
2505a261-9d15-489b-bbb1-9c7510e0f856,HEARTBEAT_MESSAGE,2025-12-19 00:09:52,2025-12-19 00:09:52,0,0,,,,,OaJ5CU0303,G133E15425,,,,,0,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-12,TRIP_START,2025-12-19 01:04:41,2025-12-19 01:06:34,23.4437984,86.196224,,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-11,GPS_MESSAGE,2025-12-19 01:04:53,2025-12-19 01:06:34,23.4437984,86.196224,,596,NoFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,0,0,0,
27a70af1-32d0-4b4d-a482-598237c0a96d-10,VERSION_UPDATE,2025-12-19 01:04:53,2025-12-19 01:06:34,23.4437984,86.196224,,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-9,IGNITION_ON,2025-12-19 01:04:58,2025-12-19 01:06:34,23.4437984,86.196224,23386,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-4,ACU_SW_PART_NO,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,23391,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-7,BATTERY_VOLTAGE_DIP,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,23388,596,StoredFix,,OaJ5CU0303,G133E15425,,0,0,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-6-1,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,1,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-6-2,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,2,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-6-3,BATTERY_VOLTAGE_DIP_AUX_DATA,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,3,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-5,ECU_SW_PART_NO,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,23390,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-3,EDC_BS6_PERIODIC,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,25125,596,StoredFix,V,OaJ5CU0303,G133E15425,,0,0,IgnitionOn,1,254.467,173.39,0,-113
27a70af1-32d0-4b4d-a482-598237c0a96d-8,ENGINE_CRANKING,2025-12-19 01:04:59,2025-12-19 01:06:34,23.4437984,86.196224,23387,596,StoredFix,,OaJ5CU0303,G133E15425,,0,,IgnitionOn,1,,,,
27a70af1-32d0-4b4d-a482-598237c0a96d-2,EDC_BS6_PERIODIC,2025-12-19 01:05:05,2025-12-19 01:06:34,23.4437984,86.196224,25126,596,StoredFix,V,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,254.467,173.39,0,-113
27a70af1-32d0-4b4d-a482-598237c0a96d-1,EDC_BS6_PERIODIC,2025-12-19 01:05:11,2025-12-19 01:06:34,23.4437984,86.196224,25127,596,StoredFix,V,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,254.467,173.39,0,-113
826b786d-972e-44c3-8858-b099b0428889-11,EDC_BS6_PERIODIC,2025-12-19 01:05:17,2025-12-19 01:08:41,23.4437504,86.1963008,25128,596,StoredFix,V,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,271.972,173.39,16,-113
826b786d-972e-44c3-8858-b099b0428889-10,GPS_MESSAGE,2025-12-19 01:05:21,2025-12-19 01:08:41,23.4437616,86.1962752,,596,3DFix,,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",0,,IgnitionOn,1,270,11,17,
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-10,EDC_BS6_PERIODIC,2025-12-19 01:05:23,2025-12-19 01:06:31,23.4437616,86.1962752,25129,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,268.346,173.39,18,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-9,EDC_BS6_PERIODIC,2025-12-19 01:05:29,2025-12-19 01:06:31,23.4437616,86.196256,25130,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,266.753,173.39,20,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-8,EDC_BS6_PERIODIC,2025-12-19 01:05:35,2025-12-19 01:06:31,23.4437584,86.196256,25131,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,265.565,173.39,20,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-7,EDC_BS6_PERIODIC,2025-12-19 01:05:41,2025-12-19 01:06:31,23.4437584,86.1962752,25132,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,264.683,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-6,EDC_BS6_PERIODIC,2025-12-19 01:05:47,2025-12-19 01:06:31,23.4437664,86.196256,25133,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,263.387,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-5,EDC_BS6_PERIODIC,2025-12-19 01:05:53,2025-12-19 01:06:31,23.4437696,86.196256,25134,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,261.712,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-4,EDC_BS6_PERIODIC,2025-12-19 01:05:59,2025-12-19 01:06:31,23.4437696,86.196256,25135,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,261.726,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-3,EDC_BS6_PERIODIC,2025-12-19 01:06:06,2025-12-19 01:06:31,23.4437696,86.196256,25136,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,261.766,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-2,EDC_BS6_PERIODIC,2025-12-19 01:06:12,2025-12-19 01:06:31,23.4437696,86.196256,25137,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,261.803,173.39,22,-113
bc4036e5-c049-4a2b-affe-e94e9dfbbe38-1,EDC_BS6_PERIODIC,2025-12-19 01:06:19,2025-12-19 01:06:31,23.4437696,86.196256,25138,596,FixOK,A,OaJ5CU0303,G133E15425,,4747.375,0,IgnitionOn,1,261.842,173.39,23,-113
826b786d-972e-44c3-8858-b099b0428889-8,EDC_BS6_PERIODIC,2025-12-19 01:06:25,2025-12-19 01:08:41,23.4437744,86.1962752,25139,596,FixOK,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,261.856,173.39,23,-113
c55dc0ca-4fea-4baa-a9eb-10d73ddce48c,HEARTBEAT_MESSAGE,2025-12-19 01:06:29,2025-12-19 01:06:29,0,0,,,,,OaJ5CU0303,G133E15425,,,,,1,,,,
826b786d-972e-44c3-8858-b099b0428889-7,EDC_BS6_PERIODIC,2025-12-19 01:06:31,2025-12-19 01:08:41,23.4437744,86.1962752,25140,596,FixOK,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,261.971,173.39,23,-113
826b786d-972e-44c3-8858-b099b0428889-6,EDC_BS6_PERIODIC,2025-12-19 01:06:37,2025-12-19 01:08:41,23.4437776,86.1962752,25141,596,FixOK,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,262.01,173.39,23,-113
826b786d-972e-44c3-8858-b099b0428889-5,EDC_BS6_PERIODIC,2025-12-19 01:06:43,2025-12-19 01:08:41,23.4437824,86.1962752,25142,596,FixOK,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,262.277,173.39,24,-113
826b786d-972e-44c3-8858-b099b0428889-4,EDC_BS6_PERIODIC,2025-12-19 01:06:49,2025-12-19 01:08:41,23.4437824,86.196288,25143,596,FixOK,A,OaJ5CU0303,G133E15425,"C5VW+CF2, Selani, West Bengal 723201, India",4747.375,0,IgnitionOn,1,262.303,173.39,24,-113
