Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength
81e3dbaf-b20f-432e-ad97-75a1a05ecb73-20,LOW_INTERNAL_BATTERY_END,2025-12-02 00:21:37,2025-12-02 07:21:57,25.1230496,75.8735488,47415,18851,FixOK,,OfV6AS1912,T214F6b453,"Unnamed Road, Indraprastha Industrial Area, Kota, Rajasthan 324003, India",293676,,IgnitionOff,0,,,,
81e3dbaf-b20f-432e-ad97-75a1a05ecb73-21-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-02 00:22:00,2025-12-02 07:21:57,25.123088,75.873856,,18851,3DFix,A,OfV6AS1912,T214F6b453,"Unnamed Road, Indraprastha Industrial Area, Kota, Rajasthan 324003, India",293676,,IgnitionOff,0,310,0,8,
81e3dbaf-b20f-432e-ad97-75a1a05ecb73-22,LOW_INTERNAL_BATTERY_START,2025-12-02 00:22:04,2025-12-02 07:21:57,25.123088,75.873856,47416,18851,FixOK,,OfV6AS1912,T214F6b453,"Unnamed Road, Indraprastha Industrial Area, Kota, Rajasthan 324003, India",293676,,IgnitionOff,0,,,,
d5c8bdb6-e5c3-4c4d-9a9d-07857941f7a7-1-1,BS6_IGNITION_OFF_HB_MESSAGE,2025-12-02 04:30:02,2025-12-02 04:30:50,25.1229248,75.8735744,,18851,3DFix,A,OfV6AS1912,T214F6b453,"Unnamed Road, Indraprastha Industrial Area, Kota, Rajasthan 324003, India",293676,,IgnitionOff,0,311,17,5,
d5c8bdb6-e5c3-4c4d-9a9d-07857941f7a7-1,GPS_MESSAGE,2025-12-02 04:30:02,2025-12-02 04:30:50,25.1229248,75.8735744,,18851,3DFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOff,0,311,17,5,
087989fa-1bf4-425f-88ae-7ef3467fcad2,HEARTBEAT_MESSAGE,2025-12-02 04:30:49,2025-12-02 04:30:49,0,0,,,,,OfV6AS1912,T214F6b453,,,,,0,,,,
81e3dbaf-b20f-432e-ad97-75a1a05ecb73-23,ENGINE_CRANKING,2025-12-02 07:14:22,2025-12-02 07:21:57,25.1230496,75.8735488,47417,18851,StoredFix,,OfV6AS1912,T214F6b453,"Unnamed Road, Indraprastha Industrial Area, Kota, Rajasthan 324003, India",293676,,IgnitionOff,0,,,,
2112597e-c884-454e-ac0d-2c2720115d13-9,ACU_SW_PART_NO,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47423,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-5,DM1_START,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47419,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-6,DM1_START,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47420,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-7,DM1_START,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47421,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-8,ECU_SW_PART_NO,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47422,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-10,EEA_BS6_PERIODIC,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,34705,18852,StoredFix,V,OfV6AS1912,T214F6b453,,0,0,IgnitionOn,1,273.82,46.09,0,-51
2112597e-c884-454e-ac0d-2c2720115d13-2,GPS_MESSAGE,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,,18852,NoFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,0,0,0,
2112597e-c884-454e-ac0d-2c2720115d13-4,IGNITION_ON,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,47418,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-1,TRIP_START,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-3,VERSION_UPDATE,2025-12-02 07:14:23,2025-12-02 07:19:33,25.1230496,75.8735488,,18852,StoredFix,,OfV6AS1912,T214F6b453,,29367.600000000002,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-11,VIN_NO_CAN,2025-12-02 07:14:25,2025-12-02 07:19:33,25.1230496,75.8735488,47424,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-12,BRAKE_AIR_PRESSURE_SENSOR_FAIL_START,2025-12-02 07:14:27,2025-12-02 07:19:33,25.1230496,75.8735488,47425,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,0,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-13,EEA_BS6_PERIODIC,2025-12-02 07:14:29,2025-12-02 07:19:33,25.1230496,75.8735488,34706,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-53
2112597e-c884-454e-ac0d-2c2720115d13-14,EEA_BS6_PERIODIC,2025-12-02 07:14:35,2025-12-02 07:19:33,25.1230496,75.8735488,34707,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-15,ACU_SW_START,2025-12-02 07:14:37,2025-12-02 07:19:33,25.1230496,75.8735488,47426,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,0,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-16,EEA_BS6_PERIODIC,2025-12-02 07:14:41,2025-12-02 07:19:33,25.1230496,75.8735488,34708,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-17,EEA_BS6_PERIODIC,2025-12-02 07:14:47,2025-12-02 07:19:33,25.1230496,75.8735488,34709,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-18,EEA_BS6_PERIODIC,2025-12-02 07:14:53,2025-12-02 07:19:33,25.1230496,75.8735488,34710,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-19,EEA_BS6_PERIODIC,2025-12-02 07:14:59,2025-12-02 07:19:33,25.1230496,75.8735488,34711,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-20,EEA_BS6_PERIODIC,2025-12-02 07:15:05,2025-12-02 07:19:33,25.1230496,75.8735488,34712,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-21,EEA_BS6_PERIODIC,2025-12-02 07:15:11,2025-12-02 07:19:33,25.1230496,75.8735488,34713,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-22,EEA_BS6_PERIODIC,2025-12-02 07:15:17,2025-12-02 07:19:33,25.1230496,75.8735488,34714,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-87
2112597e-c884-454e-ac0d-2c2720115d13-23,LOW_FUEL_CAN_START,2025-12-02 07:15:22,2025-12-02 07:19:33,25.1230496,75.8735488,47427,18852,StoredFix,,OfV6AS1912,T214F6b453,,293676,0,IgnitionOn,1,,,,
2112597e-c884-454e-ac0d-2c2720115d13-24,EEA_BS6_PERIODIC,2025-12-02 07:15:23,2025-12-02 07:19:33,25.1230496,75.8735488,34715,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-51
2112597e-c884-454e-ac0d-2c2720115d13-25,EEA_BS6_PERIODIC,2025-12-02 07:15:29,2025-12-02 07:19:33,25.1230496,75.8735488,34716,18852,StoredFix,V,OfV6AS1912,T214F6b453,,83300.375,0,IgnitionOn,1,273.82,46.09,0,-51
