Message ID,Message Type,Event Time,Ingestion Timestamp,Latitude,Longitude,Sequence Number,Trip Number,Fix Quality,Packet Status,Config Version,Firmware Version,Address,Odometer,Vehicle Speed,Trip Type,Ignition Status,Altitude,Heading,Number of Satellites,GSM Strength,Time Diff (sec),Time Range
8b702c88-57ed-4306-99b2-ea358f3bd51b-57,BRAKE_PRESSED,2025-11-19 00:00:02,2025-11-19 00:56:55,21.7368608,73.480096,56812,,FixOK,,OmV6NS1912,T216t6J557,"PFPJ+J2 Khunta Amba, Gujarat, India",143905,37.79,IgnitionOn,1,,,,,3413,30-1Hr
aa88ae29-8ec8-43e6-8fd3-afe6da9ffa1a-57,BRAKE_PRESSED,2025-11-19 00:00:02,2025-11-19 00:45:31,21.7368608,73.480096,56812,,FixOK,,OmV6NS1912,T216t6J557,"PFPJ+J2 Khunta Amba, Gujarat, India",143905,37.79,IgnitionOn,1,,,,,2729,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-1,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:05,2025-11-19 00:45:42,21.7369376,73.4803712,13368,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+J2 Khunta Amba, Gujarat, India",173809.875,36.266,IgnitionOn,1,138.679,73,8,-41,2737,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-1,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:05,2025-11-19 00:57:07,21.7369376,73.4803712,13368,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+J2 Khunta Amba, Gujarat, India",173809.875,36.266,IgnitionOn,1,138.679,73,8,-41,3422,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-2,BRAKE_PRESSED,2025-11-19 00:00:07,2025-11-19 00:45:42,21.736992,73.4805696,56813,,FixOK,,OmV6NS1912,T216t6J557,"PFPJ+P6 Khunta Amba, Gujarat, India",143905,36.66,IgnitionOn,1,,,,,2735,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-2,BRAKE_PRESSED,2025-11-19 00:00:07,2025-11-19 00:57:07,21.736992,73.4805696,56813,,FixOK,,OmV6NS1912,T216t6J557,"PFPJ+P6 Khunta Amba, Gujarat, India",143905,36.66,IgnitionOn,1,,,,,3420,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-3,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:11,2025-11-19 00:45:42,21.7370912,73.4809472,13369,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+P6 Khunta Amba, Gujarat, India",173810,37.031,IgnitionOn,1,137.605,73,9,-41,2731,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-3,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:11,2025-11-19 00:57:07,21.7370912,73.4809472,13369,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+P6 Khunta Amba, Gujarat, India",173810,37.031,IgnitionOn,1,137.605,73,9,-41,3416,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-4,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:17,2025-11-19 00:45:42,21.73728,73.4815104,13370,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+VP Khunta Amba, Gujarat, India",173810,36.562,IgnitionOn,1,135.55,72,11,-41,2725,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-4,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:17,2025-11-19 00:57:07,21.73728,73.4815104,13370,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+VP Khunta Amba, Gujarat, India",173810,36.562,IgnitionOn,1,135.55,72,11,-41,3410,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-5,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:23,2025-11-19 00:45:42,21.73748,73.48208,13371,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+VP Khunta Amba, Gujarat, India",173810.125,38.129,IgnitionOn,1,133.979,72,11,-41,2719,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-5,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:23,2025-11-19 00:57:07,21.73748,73.48208,13371,,FixOK,A,OmV6NS1912,T216t6J557,"PFPJ+VP Khunta Amba, Gujarat, India",173810.125,38.129,IgnitionOn,1,133.979,72,11,-41,3404,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-6,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:29,2025-11-19 00:45:42,21.7375872,73.4824832,13372,,FixOK,A,OmV6NS1912,T216t6J557,"PFQJ+2X Khunta Amba, Gujarat, India",173810.125,32.699,IgnitionOn,1,132.85,73,11,-41,2713,30-1Hr
b5e0b0f2-75c5-4acf-aabc-78db46d27042-6,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:29,2025-11-19 00:57:07,21.7375872,73.4824832,13372,,FixOK,A,OmV6NS1912,T216t6J557,"PFQJ+2X Khunta Amba, Gujarat, India",173810.125,32.699,IgnitionOn,1,132.85,73,11,-41,3398,30-1Hr
a5444c17-c139-4bf4-940a-5388f91ffcd7-7,EDC_BS6_CNG_PERIODIC,2025-11-19 00:00:35,2025-11-19 00:45:42,21.7376832,73.4829568,13373,,FixOK,A,OmV6NS1912,T216t6J557,"NH56, Khunta Amba, Gujarat 393140, India",173810.25,32.176,IgnitionOn,1,132.1,80,12,-41,2707,30-1Hr
